uni,t,n,value
ssp1,1,arg,0.18535060165250322
ssp1,1,aus,0.3772703313451606
ssp1,1,aut,0.06318475576610798
ssp1,1,bel,0.09503458362968924
ssp1,1,bgr,0.04450381127141124
ssp1,1,blt,0.032436508309122515
ssp1,1,bra,0.48487825014731895
ssp1,1,can,0.5579273421978315
ssp1,1,chl,0.08213563036110758
ssp1,1,chn,9.84583858741439
ssp1,1,cor,0.6070029533319351
ssp1,1,cro,0.01658925590528544
ssp1,1,dnk,0.03367420054472153
ssp1,1,egy,0.2260014619498021
ssp1,1,esp,0.25605119669175236
ssp1,1,fin,0.042771137712189114
ssp1,1,fra,0.311118722521263
ssp1,1,gbr,0.40074256996840313
ssp1,1,golf57,2.0542072995444367
ssp1,1,grc,0.06792878807775787
ssp1,1,hun,0.0433419070132685
ssp1,1,idn,0.4880178229786177
ssp1,1,irl,0.03704038650642527
ssp1,1,ita,0.3375763875792804
ssp1,1,jpn,1.178011769283766
ssp1,1,meme,0.13295351807738306
ssp1,1,mex,0.4710975139503865
ssp1,1,mys,0.23621395198337977
ssp1,1,nde,2.155114186552934
ssp1,1,nld,0.1572465025946108
ssp1,1,noan,0.09193192603526017
ssp1,1,noap,0.20182008980906266
ssp1,1,nor,0.03946687494077343
ssp1,1,oeu,0.13396697811474506
ssp1,1,osea,0.21211968462765127
ssp1,1,pol,0.2886994237230982
ssp1,1,prt,0.04980482444471308
ssp1,1,rcam,0.1422883337961105
ssp1,1,rcz,0.0990138652778834
ssp1,1,rfa,0.7415337741276544
ssp1,1,ris,0.47178766983421505
ssp1,1,rjan57,0.04738024687153019
ssp1,1,rom,0.07326137144372533
ssp1,1,rsaf,0.3201749223525054
ssp1,1,rsam,0.3785881689827489
ssp1,1,rsas,0.27014660251508127
ssp1,1,rsl,0.030719136046773243
ssp1,1,rus,1.590213497974629
ssp1,1,slo,0.013125339489416714
ssp1,1,sui,0.039093899318480625
ssp1,1,swe,0.03918691771789466
ssp1,1,tha,0.2636775438775087
ssp1,1,tur,0.351231649974371
ssp1,1,ukr,0.1907903921687836
ssp1,1,usa,4.984259906246065
ssp1,1,vnm,0.22035836310080412
ssp1,1,zaf,0.42415092363829277
ssp1,10,arg,0.18561903545332997
ssp1,10,aus,0.294249529961415
ssp1,10,aut,0.05970181401577957
ssp1,10,bel,0.07753728283932405
ssp1,10,bgr,0.0224061838467317
ssp1,10,blt,0.02833771511541508
ssp1,10,bra,0.6403549187260933
ssp1,10,can,0.39282905015652053
ssp1,10,chl,0.09318423703923347
ssp1,10,chn,8.131598661287537
ssp1,10,cor,0.47976468198103117
ssp1,10,cro,0.011333573526088927
ssp1,10,dnk,0.03715074372396884
ssp1,10,egy,0.5695764602724798
ssp1,10,esp,0.25500497321411864
ssp1,10,fin,0.04977876658970849
ssp1,10,fra,0.43822702562250376
ssp1,10,gbr,0.31652964532386063
ssp1,10,golf57,2.295421401694843
ssp1,10,grc,0.05320647610670963
ssp1,10,hun,0.030848943900397666
ssp1,10,idn,1.2935303528557345
ssp1,10,irl,0.04662068348184866
ssp1,10,ita,0.29282146859229824
ssp1,10,jpn,0.8874402685807881
ssp1,10,meme,0.244168190221806
ssp1,10,mex,0.5157238011460803
ssp1,10,mys,0.32130097136460173
ssp1,10,nde,5.990450933925842
ssp1,10,nld,0.14947334118141917
ssp1,10,noan,0.13405779366760426
ssp1,10,noap,0.1788712927059193
ssp1,10,nor,0.05876137347708175
ssp1,10,oeu,0.15615743588119196
ssp1,10,osea,0.48363251465666257
ssp1,10,pol,0.22470007285240212
ssp1,10,prt,0.039025133150289146
ssp1,10,rcam,0.2976652577700743
ssp1,10,rcz,0.06929240091983382
ssp1,10,rfa,0.5839181645263756
ssp1,10,ris,0.5572860689911174
ssp1,10,rjan57,0.04584088062890549
ssp1,10,rom,0.05474036576121684
ssp1,10,rsaf,2.5356900511948894
ssp1,10,rsam,0.5504695146798783
ssp1,10,rsas,1.3347078227251687
ssp1,10,rsl,0.013565918417574927
ssp1,10,rus,1.593639036519845
ssp1,10,slo,0.006697265460441999
ssp1,10,sui,0.05024226386124256
ssp1,10,swe,0.04494008582169559
ssp1,10,tha,0.25462184616579964
ssp1,10,tur,0.43473220768727494
ssp1,10,ukr,0.2890508628556914
ssp1,10,usa,3.9297110234119152
ssp1,10,vnm,0.7411557934751177
ssp1,10,zaf,0.4841316520110867
ssp1,11,arg,0.17629424909488556
ssp1,11,aus,0.2774479012865379
ssp1,11,aut,0.05525097044912839
ssp1,11,bel,0.06555739395144822
ssp1,11,bgr,0.018917791906066073
ssp1,11,blt,0.02651358168892884
ssp1,11,bra,0.6324747914819145
ssp1,11,can,0.376561924020775
ssp1,11,chl,0.08817665165643435
ssp1,11,chn,6.854917796776106
ssp1,11,cor,0.4355920025309228
ssp1,11,cro,0.010244560597146575
ssp1,11,dnk,0.03659599873894347
ssp1,11,egy,0.5776413792233794
ssp1,11,esp,0.25400905484040043
ssp1,11,fin,0.04583944239508905
ssp1,11,fra,0.44681102033067577
ssp1,11,gbr,0.30278606602057917
ssp1,11,golf57,2.2768175913336908
ssp1,11,grc,0.04318060061834357
ssp1,11,hun,0.028329989538461806
ssp1,11,idn,1.3276213695567358
ssp1,11,irl,0.0440622649663452
ssp1,11,ita,0.28476077842528136
ssp1,11,jpn,0.8520716172385931
ssp1,11,meme,0.2430001664068291
ssp1,11,mex,0.49706196815694564
ssp1,11,mys,0.31304285159585016
ssp1,11,nde,6.072044445224507
ssp1,11,nld,0.14455180503743284
ssp1,11,noan,0.1285166686152676
ssp1,11,noap,0.17672393858541885
ssp1,11,nor,0.06046019024765449
ssp1,11,oeu,0.15033155194054174
ssp1,11,osea,0.5125745818274313
ssp1,11,pol,0.20320166799928638
ssp1,11,prt,0.03508349268369013
ssp1,11,rcam,0.3091049586434794
ssp1,11,rcz,0.06342988037507304
ssp1,11,rfa,0.5588873461434425
ssp1,11,ris,0.5294400729781474
ssp1,11,rjan57,0.04050289529053687
ssp1,11,rom,0.04864401070555442
ssp1,11,rsaf,3.0082993034919907
ssp1,11,rsam,0.5578163512869403
ssp1,11,rsas,1.4898507849062812
ssp1,11,rsl,0.010158552105679295
ssp1,11,rus,1.4880730639916113
ssp1,11,slo,0.00521607484973236
ssp1,11,sui,0.05067039386746375
ssp1,11,swe,0.04470238199864949
ssp1,11,tha,0.2359350138818034
ssp1,11,tur,0.4126324468430203
ssp1,11,ukr,0.2802053502769469
ssp1,11,usa,3.6962701983430155
ssp1,11,vnm,0.7689538841736829
ssp1,11,zaf,0.46423851017607826
ssp1,12,arg,0.16535729662654328
ssp1,12,aus,0.26081031770894836
ssp1,12,aut,0.05055071549605526
ssp1,12,bel,0.053090004301898794
ssp1,12,bgr,0.015720624431772672
ssp1,12,blt,0.024739672448675008
ssp1,12,bra,0.6165721824740144
ssp1,12,can,0.3625348937010222
ssp1,12,chl,0.0826195966648462
ssp1,12,chn,5.71323721486338
ssp1,12,cor,0.395069916320985
ssp1,12,cro,0.009230555690101522
ssp1,12,dnk,0.0360444028561502
ssp1,12,egy,0.57460818960498
ssp1,12,esp,0.25158217913964487
ssp1,12,fin,0.04114460348824521
ssp1,12,fra,0.4538964883833629
ssp1,12,gbr,0.28944396877511225
ssp1,12,golf57,2.2418543165149973
ssp1,12,grc,0.033142856781585926
ssp1,12,hun,0.0259013650963076
ssp1,12,idn,1.3385522751872556
ssp1,12,irl,0.04156907903699217
ssp1,12,ita,0.27564181943730914
ssp1,12,jpn,0.8136229248169278
ssp1,12,meme,0.23803267273827086
ssp1,12,mex,0.47133849206713385
ssp1,12,mys,0.30098458836765585
ssp1,12,nde,6.039446225109043
ssp1,12,nld,0.13955196391514882
ssp1,12,noan,0.1210663041025143
ssp1,12,noap,0.1721477130972634
ssp1,12,nor,0.06233672905477595
ssp1,12,oeu,0.14395925853742164
ssp1,12,osea,0.5380918142373515
ssp1,12,pol,0.18342762474075588
ssp1,12,prt,0.03102174426391531
