t,n,value
1,arg,0.6192723186669625
1,aus,1.114377404027453
1,aut,0.8733505209459722
1,bel,0.8740548277031729
1,bgr,0.3896747522951155
1,blt,0.5358888577116262
1,bra,0.6835736479534811
1,can,0.9340245924373557
1,chl,0.6129295375795774
1,chn,0.6190168650861306
1,cor,0.7719442508593674
1,cro,0.5019240757870589
1,dnk,1.0407072347578705
1,egy,0.22191596419914877
1,esp,0.7108866726490095
1,fin,0.9732471376056738
1,fra,0.8678287559695201
1,gbr,0.8810794219478477
1,golf57,0.47811613127876906
1,grc,0.6480084191477684
1,hun,0.4956997036317266
1,idn,0.35092421940954294
1,irl,0.8952076951262309
1,ita,0.7774363364141855
1,jpn,0.9370198527493715
1,meme,0.9015092161659254
1,mex,0.4709561725622803
1,mys,0.38479837791585436
1,nde,0.3203448118942408
1,nld,0.8813976482310427
1,noan,0.3804037452099014
1,noap,0.3717751920781812
1,nor,1.1787019947612325
1,oeu,0.5592409097149621
1,osea,0.7493429408658779
1,pol,0.4611645013626862
1,prt,0.6487375175028224
1,rcam,0.64161782575116
1,rcz,0.5315198847837564
1,rfa,0.8392891192769426
1,ris,0.3337645417675484
1,rjan57,0.9578590147768516
1,rom,0.39816672633711286
1,rsaf,0.39872076456067007
1,rsam,0.6394360254912552
1,rsas,0.3322472739588765
1,rsl,0.5819636024661538
1,rus,0.4134902850051763
1,slo,0.6424956692978083
1,sui,1.2061907703765136
1,swe,1.0354884905230555
1,tha,0.3784558563127214
1,tur,0.3793700830569337
1,ukr,0.22244530174037472
1,usa,1.0
1,vnm,0.3305905103580242
1,zaf,0.48274238286760734
10,arg,0.6192723186669625
10,aus,1.114377404027453
10,aut,0.8733505209459722
10,bel,0.8740548277031729
10,bgr,0.3896747522951155
10,blt,0.5358888577116262
10,bra,0.6835736479534811
10,can,0.9340245924373557
10,chl,0.6129295375795774
10,chn,0.6190168650861306
10,cor,0.7719442508593674
10,cro,0.5019240757870589
10,dnk,1.0407072347578705
10,egy,0.22191596419914877
10,esp,0.7108866726490095
10,fin,0.9732471376056738
10,fra,0.8678287559695201
10,gbr,0.8810794219478477
10,golf57,0.47811613127876906
10,grc,0.6480084191477684
10,hun,0.4956997036317266
10,idn,0.35092421940954294
10,irl,0.8952076951262309
10,ita,0.7774363364141855
10,jpn,0.9370198527493715
10,meme,0.9015092161659254
10,mex,0.4709561725622803
10,mys,0.38479837791585436
