uni,t,n,value
ssp1,1,arg,43.13
ssp1,1,aus,23.82
ssp1,1,aut,8.64
ssp1,1,bel,11.27
ssp1,1,bgr,7.18
ssp1,1,blt,6.199999999999999
ssp1,1,bra,205.19
ssp1,1,can,35.7
ssp1,1,chl,17.87
ssp1,1,chn,1379.86
ssp1,1,cor,51.01
ssp1,1,cro,4.2
ssp1,1,dnk,5.68
ssp1,1,egy,97.72
ssp1,1,esp,46.44
ssp1,1,fin,5.48
ssp1,1,fra,66.55
ssp1,1,gbr,65.12
ssp1,1,golf57,201.61
ssp1,1,grc,10.82
ssp1,1,hun,9.84
ssp1,1,idn,259.09
ssp1,1,irl,4.7
ssp1,1,ita,60.73
ssp1,1,jpn,127.14
ssp1,1,meme,47.75
ssp1,1,mex,120.15
ssp1,1,mys,31.07
ssp1,1,nde,1322.87
ssp1,1,nld,16.94
ssp1,1,noan,46.24
ssp1,1,noap,45.73
ssp1,1,nor,5.19
ssp1,1,oeu,21.069999999999997
ssp1,1,osea,218.80999999999997
ssp1,1,pol,37.99
ssp1,1,prt,10.36
ssp1,1,rcam,88.58000000000001
ssp1,1,rcz,10.55
ssp1,1,rfa,81.69
ssp1,1,ris,97.64999999999999
ssp1,1,rjan57,17.77
ssp1,1,rom,19.82
ssp1,1,rsaf,953.81
ssp1,1,rsam,146.57
ssp1,1,rsas,452.31000000000006
ssp1,1,rsl,5.42
ssp1,1,rus,144.1
ssp1,1,slo,2.06
ssp1,1,sui,8.28
ssp1,1,swe,9.8
ssp1,1,tha,70.29
ssp1,1,tur,79.65
ssp1,1,ukr,45.15
ssp1,1,usa,320.74
ssp1,1,vnm,92.19
ssp1,1,zaf,55.88
ssp1,10,arg,53.65
ssp1,10,aus,32.98
ssp1,10,aut,9.12
ssp1,10,bel,12.13
ssp1,10,bgr,4.55
ssp1,10,blt,4.7299999999999995
ssp1,10,bra,217.53
ssp1,10,can,44.83
ssp1,10,chl,20.0
ssp1,10,chn,1204.59
ssp1,10,cor,44.29
ssp1,10,cro,3.19
ssp1,10,dnk,6.15
ssp1,10,egy,152.69
ssp1,10,esp,46.41
ssp1,10,fin,5.32
ssp1,10,fra,72.18
ssp1,10,gbr,71.4
ssp1,10,golf57,289.36
ssp1,10,grc,9.79
ssp1,10,hun,8.08
ssp1,10,idn,301.01
ssp1,10,irl,5.49
ssp1,10,ita,51.67
ssp1,10,jpn,98.27
ssp1,10,meme,71.85999999999999
ssp1,10,mex,141.39
ssp1,10,mys,44.56
ssp1,10,nde,1604.25
ssp1,10,nld,17.66
ssp1,10,noan,53.56
ssp1,10,noap,63.41
ssp1,10,nor,6.28
ssp1,10,oeu,16.220000000000002
ssp1,10,osea,266.14
ssp1,10,pol,31.62
ssp1,10,prt,8.24
ssp1,10,rcam,99.11000000000001
ssp1,10,rcz,9.31
ssp1,10,rfa,77.91
ssp1,10,ris,116.61
ssp1,10,rjan57,24.32
ssp1,10,rom,13.6
ssp1,10,rsaf,1700.5600000000002
ssp1,10,rsam,175.87
ssp1,10,rsas,623.53
ssp1,10,rsl,4.7
ssp1,10,rus,131.17
ssp1,10,slo,2.01
ssp1,10,sui,9.94
ssp1,10,swe,11.91
ssp1,10,tha,63.31
ssp1,10,tur,93.61
ssp1,10,ukr,33.75
ssp1,10,usa,376.23
ssp1,10,vnm,100.08
ssp1,10,zaf,70.43
ssp1,11,arg,53.84
ssp1,11,aus,33.62
ssp1,11,aut,9.07
ssp1,11,bel,12.09
ssp1,11,bgr,4.28
ssp1,11,blt,4.6
ssp1,11,bra,212.98
ssp1,11,can,45.32
ssp1,11,chl,19.72
ssp1,11,chn,1151.05
ssp1,11,cor,42.34
ssp1,11,cro,3.1
ssp1,11,dnk,6.15
ssp1,11,egy,154.91
ssp1,11,esp,45.75
ssp1,11,fin,5.27
ssp1,11,fra,72.16
ssp1,11,gbr,71.19
ssp1,11,golf57,289.62
ssp1,11,grc,9.61
ssp1,11,hun,7.82
ssp1,11,idn,297.37
ssp1,11,irl,5.45
ssp1,11,ita,50.22
ssp1,11,jpn,94.6
ssp1,11,meme,72.35
ssp1,11,mex,139.7
ssp1,11,mys,45.21
ssp1,11,nde,1593.25
ssp1,11,nld,17.5
ssp1,11,noan,52.64
ssp1,11,noap,63.199999999999996
ssp1,11,nor,6.33
ssp1,11,oeu,15.55
ssp1,11,osea,263.33
ssp1,11,pol,30.38
ssp1,11,prt,7.91
ssp1,11,rcam,96.94
ssp1,11,rcz,9.07
ssp1,11,rfa,76.81
ssp1,11,ris,115.19999999999999
ssp1,11,rjan57,24.23
ssp1,11,rom,12.75
ssp1,11,rsaf,1718.9800000000002
ssp1,11,rsam,174.23
ssp1,11,rsas,620.88
ssp1,11,rsl,4.52
ssp1,11,rus,129.74
ssp1,11,slo,1.98
ssp1,11,sui,10.0
ssp1,11,swe,12.02
ssp1,11,tha,61.12
ssp1,11,tur,92.69
ssp1,11,ukr,32.95
ssp1,11,usa,379.15
ssp1,11,vnm,97.79
ssp1,11,zaf,70.2
ssp1,12,arg,53.85
ssp1,12,aus,34.21
ssp1,12,aut,9.01
ssp1,12,bel,12.06
ssp1,12,bgr,4.01
ssp1,12,blt,4.47
ssp1,12,bra,207.89
ssp1,12,can,45.86
ssp1,12,chl,19.38
ssp1,12,chn,1096.81
ssp1,12,cor,40.33
ssp1,12,cro,3.01
ssp1,12,dnk,6.14
ssp1,12,egy,156.38
ssp1,12,esp,45.02
ssp1,12,fin,5.23
ssp1,12,fra,72.14
ssp1,12,gbr,70.96
ssp1,12,golf57,288.36
ssp1,12,grc,9.42
ssp1,12,hun,7.55
ssp1,12,idn,292.78
ssp1,12,irl,5.4
ssp1,12,ita,48.76
ssp1,12,jpn,90.73
ssp1,12,meme,72.57
ssp1,12,mex,137.33
ssp1,12,mys,45.63
ssp1,12,nde,1575.79
ssp1,12,nld,17.35
ssp1,12,noan,51.49
ssp1,12,noap,62.66
ssp1,12,nor,6.37
ssp1,12,oeu,14.879999999999999
ssp1,12,osea,259.47999999999996
ssp1,12,pol,29.09
ssp1,12,prt,7.58
ssp1,12,rcam,94.35000000000001
ssp1,12,rcz,8.81
ssp1,12,rfa,75.89
ssp1,12,ris,113.38999999999999
ssp1,12,rjan57,24.03
ssp1,12,rom,11.9
ssp1,12,rsaf,1727.0600000000004
ssp1,12,rsam,171.94
ssp1,12,rsas,615.24
ssp1,12,rsl,4.34
ssp1,12,rus,128.26
ssp1,12,slo,1.95
ssp1,12,sui,10.05
ssp1,12,swe,12.13
ssp1,12,tha,59.01
ssp1,12,tur,91.5
ssp1,12,ukr,32.14
ssp1,12,usa,382.21
ssp1,12,vnm,95.09
ssp1,12,zaf,69.67
ssp1,13,arg,53.68
ssp1,13,aus,34.76
ssp1,13,aut,8.98
ssp1,13,bel,12.04
ssp1,13,bgr,3.75
ssp1,13,blt,4.35
ssp1,13,bra,202.24
ssp1,13,can,46.43
ssp1,13,chl,19.01
ssp1,13,chn,1043.9
ssp1,13,cor,38.31
ssp1,13,cro,2.93
ssp1,13,dnk,6.13
ssp1,13,egy,157.08
ssp1,13,esp,44.28
ssp1,13,fin,5.18
ssp1,13,fra,72.1
ssp1,13,gbr,70.77
ssp1,13,golf57,285.69
ssp1,13,grc,9.23
ssp1,13,hun,7.28
ssp1,13,idn,287.32
ssp1,13,irl,5.34
ssp1,13,ita,47.39
ssp1,13,jpn,86.73
ssp1,13,meme,72.44
ssp1,13,mex,134.39
ssp1,13,mys,45.8
ssp1,13,nde,1551.59
ssp1,13,nld,17.23
ssp1,13,noan,50.16
ssp1,13,noap,61.86
ssp1,13,nor,6.41
ssp1,13,oeu,14.209999999999999
ssp1,13,osea,254.66000000000003
ssp1,13,pol,27.75
ssp1,13,prt,7.27
ssp1,13,rcam,91.40000000000002
ssp1,13,rcz,8.54
ssp1,13,rfa,75.3
ssp1,13,ris,111.15
ssp1,13,rjan57,23.75
ssp1,13,rom,11.08
ssp1,13,rsaf,1724.83
ssp1,13,rsam,168.95
ssp1,13,rsas,606.62
ssp1,13,rsl,4.15
ssp1,13,rus,126.83
ssp1,13,slo,1.92
ssp1,13,sui,10.11
ssp1,13,swe,12.24
ssp1,13,tha,57.04
ssp1,13,tur,90.02
ssp1,13,ukr,31.36
ssp1,13,usa,385.17
ssp1,13,vnm,92.12
ssp1,13,zaf,68.86
ssp1,14,arg,53.33
ssp1,14,aus,35.26
ssp1,14,aut,8.96
ssp1,14,bel,12.03
ssp1,14,bgr,3.51
ssp1,14,blt,4.24
ssp1,14,bra,196.08
ssp1,14,can,46.97
ssp1,14,chl,18.6
ssp1,14,chn,992.28
ssp1,14,cor,36.34
ssp1,14,cro,2.85
ssp1,14,dnk,6.13
ssp1,14,egy,157.04
ssp1,14,esp,43.57
ssp1,14,fin,5.14
ssp1,14,fra,72.06
ssp1,14,gbr,70.57
ssp1,14,golf57,281.76000000000005
ssp1,14,grc,9.05
ssp1,14,hun,7.02
ssp1,14,idn,281.11
ssp1,14,irl,5.27
ssp1,14,ita,46.2
ssp1,14,jpn,82.74
ssp1,14,meme,71.96000000000001
ssp1,14,mex,130.98
ssp1,14,mys,45.77
ssp1,14,nde,1520.99
ssp1,14,nld,17.13
ssp1,14,noan,48.68
ssp1,14,noap,60.89
ssp1,14,nor,6.45
