uni,t,n,value
ssp1,1,arg,0.5188644232143456
ssp1,1,aus,1.0246433987924353
ssp1,1,aut,0.32392071768957287
ssp1,1,bel,0.3955546440261621
ssp1,1,bgr,0.045385509166751076
ssp1,1,blt,0.07947930950149704
ssp1,1,bra,1.7089280277084418
ssp1,1,can,1.286227061299018
ssp1,1,chl,0.21748963659598408
ssp1,1,chn,8.743661216226286
ssp1,1,cor,1.2410704328305255
ssp1,1,cro,0.04269408959649797
ssp1,1,dnk,0.2539207372335234
ssp1,1,egy,0.1760003298483325
ssp1,1,esp,1.001535899189791
ssp1,1,fin,0.19509169966271672
ssp1,1,fra,2.0317836037670216
ssp1,1,gbr,2.0930403268853923
ssp1,1,golf57,1.761972383412017
ssp1,1,grc,0.16083523459556165
ssp1,1,hun,0.10901508965914199
ssp1,1,idn,0.746941429168603
ssp1,1,irl,0.24423751753225095
ssp1,1,ita,1.5423199692600842
ssp1,1,jpn,3.906638943134382
ssp1,1,meme,0.4033832370295904
ssp1,1,mex,0.8975371342260957
ssp1,1,mys,0.2343460820565027
ssp1,1,nde,1.8614066611044149
ssp1,1,nld,0.6419582486486023
ssp1,1,noan,0.12420502256368107
ssp1,1,noap,0.1738221034361336
ssp1,1,nor,0.31265762623371135
ssp1,1,oeu,0.18364239580237007
ssp1,1,osea,0.9144505358124471
ssp1,1,pol,0.3933840761586273
ssp1,1,prt,0.16971903931416407
ssp1,1,rcam,0.5003928426772962
ssp1,1,rcz,0.16455041496964282
ssp1,1,rfa,2.8467333379059316
ssp1,1,ris,0.3191703517846662
ssp1,1,rjan57,0.20594726366342356
ssp1,1,rom,0.15328877909749675
ssp1,1,rsaf,1.0261331890175036
ssp1,1,rsam,1.3255400093962733
ssp1,1,rsas,0.5683447252512402
ssp1,1,rsl,0.07359817774098419
ssp1,1,rus,1.2523373219287426
ssp1,1,slo,0.03637090530317206
ssp1,1,sui,0.5526578749173234
ssp1,1,swe,0.4194303507364535
ssp1,1,tha,0.34373326151671574
ssp1,1,tur,0.6276783122166113
ssp1,1,ukr,0.08676104444191539
ssp1,1,usa,15.209999483083559
ssp1,1,vnm,0.2001463002708142
ssp1,1,zaf,0.304032099924312
ssp1,10,arg,1.8602509363722401
ssp1,10,aus,2.727843254891921
ssp1,10,aut,0.5820696719054961
ssp1,10,bel,0.7396932192243315
ssp1,10,bgr,0.10544573089089161
ssp1,10,blt,0.1565493657970737
ssp1,10,bra,5.813819605054466
ssp1,10,can,2.472031734991945
ssp1,10,chl,0.7138094656162998
ssp1,10,chn,43.8853042178203
ssp1,10,cor,2.7804245038696673
ssp1,10,cro,0.07677221606623495
ssp1,10,dnk,0.4484223928346913
ssp1,10,egy,1.3391692728556617
ssp1,10,esp,1.7025153412471228
ssp1,10,fin,0.34424325636219033
ssp1,10,fra,4.06647489112818
ssp1,10,gbr,4.260394546634117
ssp1,10,golf57,4.727637277769734
ssp1,10,grc,0.3717025722698852
ssp1,10,hun,0.21692493672031082
ssp1,10,idn,4.718948196997763
ssp1,10,irl,0.46450697841964683
ssp1,10,ita,2.397624019886185
ssp1,10,jpn,5.834666585182982
ssp1,10,meme,2.451368789703197
ssp1,10,mex,3.2896555526771096
ssp1,10,mys,0.9784346746582039
ssp1,10,nde,16.064116328986934
ssp1,10,nld,1.1531842808002966
ssp1,10,noan,0.8088175343909152
ssp1,10,noap,0.6181313113307418
ssp1,10,nor,0.5658691467176191
ssp1,10,oeu,0.36052988050713886
ssp1,10,osea,3.0497691467281256
ssp1,10,pol,0.7996957949338317
ssp1,10,prt,0.2737715163769386
ssp1,10,rcam,1.8251430118364638
ssp1,10,rcz,0.37813774424961855
ssp1,10,rfa,4.622725297801389
ssp1,10,ris,1.225027395123488
ssp1,10,rjan57,0.7634655092172142
